"","gene","variable","value","region","stage"
"225","Solyc01g006850.1.1","b2.leaf",1.71922276995772,"leaf","1"
"226","Solyc01g008940.2.1","b2.leaf",2.27048203144019,"leaf","1"
"227","Solyc01g017500.1.1","b2.leaf",1.89962973876489,"leaf","1"
"228","Solyc01g080050.2.1","b2.leaf",2.0013576150118,"leaf","1"
"229","Solyc01g099260.2.1","b2.leaf",2.52171736487365,"leaf","1"
"230","Solyc01g099450.2.1","b2.leaf",1.04275422993032,"leaf","1"
"231","Solyc01g103660.2.1","b2.leaf",1.95814806312313,"leaf","1"
"232","Solyc01g111160.2.1","b2.leaf",1.00051907092413,"leaf","1"
"233","Solyc02g070420.2.1","b2.leaf",1.72653572077584,"leaf","1"
"234","Solyc02g084130.2.1","b2.leaf",1.50747062237582,"leaf","1"
"235","Solyc02g089480.1.1","b2.leaf",0.933542289351468,"leaf","1"
"236","Solyc02g090690.1.1","b2.leaf",1.15195063621142,"leaf","1"
"237","Solyc02g091140.2.1","b2.leaf",1.6092279526542,"leaf","1"
"238","Solyc02g093380.1.1","b2.leaf",1.67091267953379,"leaf","1"
"239","Solyc03g013440.2.1","b2.leaf",0.746583652784723,"leaf","1"
"240","Solyc03g045150.1.1","b2.leaf",1.09693556710397,"leaf","1"
"241","Solyc03g083730.1.1","b2.leaf",1.43617060756191,"leaf","1"
"242","Solyc03g113180.2.1","b2.leaf",1.88021460439852,"leaf","1"
"243","Solyc03g119470.1.1","b2.leaf",1.70047503663742,"leaf","1"
"244","Solyc03g121680.1.1","b2.leaf",1.71939304151467,"leaf","1"
"245","Solyc03g122070.1.1","b2.leaf",2.46649970063852,"leaf","1"
"246","Solyc04g015820.1.1","b2.leaf",1.48904589985489,"leaf","1"
"247","Solyc04g074400.1.1","b2.leaf",1.08416485129546,"leaf","1"
"248","Solyc04g074920.2.1","b2.leaf",2.08041214465241,"leaf","1"
"249","Solyc04g074970.2.1","b2.leaf",1.38689455057175,"leaf","1"
"250","Solyc04g081990.2.1","b2.leaf",1.4654159054023,"leaf","1"
"251","Solyc05g026600.2.1","b2.leaf",1.39712557827571,"leaf","1"
"252","Solyc05g048820.2.1","b2.leaf",1.29243735264681,"leaf","1"
"253","Solyc06g006020.1.1","b2.leaf",1.73110787812526,"leaf","1"
"254","Solyc06g009140.2.1","b2.leaf",1.67472170732078,"leaf","1"
"255","Solyc06g054150.1.1","b2.leaf",1.20765871100583,"leaf","1"
"256","Solyc06g060010.2.1","b2.leaf",1.07215348148007,"leaf","1"
"257","Solyc06g068190.1.1","b2.leaf",0.935681380882401,"leaf","1"
"258","Solyc06g072320.2.1","b2.leaf",1.07010267525795,"leaf","1"
"259","Solyc06g073580.2.1","b2.leaf",0.730950966170376,"leaf","1"
"260","Solyc06g075020.2.1","b2.leaf",2.16936302612576,"leaf","1"
"261","Solyc06g075520.2.1","b2.leaf",2.53053596923929,"leaf","1"
"262","Solyc06g082770.2.1","b2.leaf",1.57242761465095,"leaf","1"
"263","Solyc07g008400.1.1","b2.leaf",2.13446173966632,"leaf","1"
"264","Solyc07g042510.2.1","b2.leaf",1.66589927784742,"leaf","1"
"265","Solyc07g047740.2.1","b2.leaf",1.47394295076988,"leaf","1"
"266","Solyc07g048060.1.1","b2.leaf",1.67958559306589,"leaf","1"
"267","Solyc07g054710.1.1","b2.leaf",1.30269711643963,"leaf","1"
"268","Solyc08g013960.1.1","b2.leaf",1.95369437916038,"leaf","1"
"269","Solyc08g060840.1.1","b2.leaf",1.17223299672694,"leaf","1"
"270","Solyc09g011580.2.1","b2.leaf",1.88964265439069,"leaf","1"
"271","Solyc09g015350.2.1","b2.leaf",1.15277236264725,"leaf","1"
"272","Solyc09g075520.1.1","b2.leaf",2.05379439398503,"leaf","1"
"273","Solyc09g091110.2.1","b2.leaf",1.10219999179734,"leaf","1"
"274","Solyc10g080670.1.1","b2.leaf",1.31387516595681,"leaf","1"
